Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 09/25  10:00:00,0.796802075,3.080063177,0.00E+00,2.230054898,0.00E+00,6.14E-02,6.14E-02,6.14E-02,7.75E-02,1.69E-02,0.34638035,0.277521925,0.830893203
 09/25  11:00:00,0.787658862,2.132581923,0.00E+00,1.377877161,0.00E+00,3.79E-02,3.79E-02,3.79E-02,7.75E-02,1.69E-02,0.360615364,0.27760695,0.735583829
 09/25  12:00:00,0.760983555,1.644967986,0.00E+00,0.96412045,0.00E+00,2.65E-02,2.65E-02,2.65E-02,7.75E-02,1.69E-02,0.350008519,0.27293057,0.662048702
 09/25  13:00:00,0.723369017,1.018756303,0.00E+00,0.380547377,0.00E+00,1.05E-02,1.05E-02,1.05E-02,7.75E-02,1.69E-02,0.319023878,0.282368356,0.618760039
 09/25  14:00:00,0.703996592,0.596078408,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E-02,1.69E-02,0.294229479,0.29826805,0.575534386
 09/25  15:00:00,0.727373129,0.603254447,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E-02,1.69E-02,0.301026121,0.314847944,0.581568441
 09/25  16:00:00,0.837630613,0.65998017,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.66E-02,1.89E-02,0.342617219,0.372409937,0.634329425
 09/25  17:00:00,1.04393939,0.778943353,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.127649462,2.78E-02,0.418947794,0.452418555,0.747781797
 09/25  18:00:00,1.209099395,0.886815581,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.237063298,5.17E-02,0.382084005,0.491190001,0.852983537
 09/25  19:00:00,1.366306247,0.905894545,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.433096355,9.44E-02,0.314732547,0.507004669,0.870973223
 09/25  20:00:00,1.611763546,0.845157677,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.647365121,0.141044366,0.28180723,0.524434815,0.809035806
 09/25  21:00:00,1.529185883,0.76851404,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.601776058,0.131111652,0.266994959,0.512191201,0.733235481
 09/25  22:00:00,1.226485142,0.64372168,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.451331981,9.83E-02,0.216471564,0.443235845,0.613192609
